sku,description,base_price,finish,finish_description,options,confidence,source_page
BB1191-US3,"Ball Bearing Hinge 4.5"" x 4.5"" Heavy Weight",145.50,US3,Bright Brass,"Standard Pin, Removable Pin",0.92,45
BB1279-US26D,"Ball Bearing Hinge 5"" x 5"" Heavy Weight",178.25,US26D,Satin Chrome,"Standard Pin, Heavy Duty",0.89,46
H3A-US10B,"Template Hinge 3"" Adjustable",67.80,US10B,Dark Bronze,"Template, Adjustable",0.85,78
BB1434-US4,"Heavy Duty Hinge 4"" x 4"" Full Mortise",156.75,US4,Satin Brass,"Heavy Duty, Standard Pin",0.91,47
CTW-6-US26D,"Continuous Hinge 6ft with Welded Seam",289.50,US26D,Satin Chrome,"Continuous Weld, Weather Seal",0.88,89
EPT-4-US3,"Electroplated Hinge 4"" Standard",134.25,US3,Bright Brass,"Electroplated, Standard Pin",0.93,52
BB1668-US10A,"Ball Bearing Hinge 6"" x 6"" Extra Heavy",198.40,US10A,Satin Bronze,"Extra Heavy, Ball Bearing",0.90,48
H4B-US26,"Heavy Hinge 4"" Bronze Finish",187.60,US26,Polished Chrome,"Heavy Duty, Bronze Finish",0.87,79
CTW-8-US4,"Continuous Hinge 8ft Custom Length",345.80,US4,Satin Brass,"Custom Length, Continuous Weld",0.86,90
TIPIT-3-US3,"Tip-It Hinge 3"" Self-Closing",98.75,US3,Bright Brass,"Self-Closing, Tip-It Mechanism",0.94,95